"filename", "language", "JSON", "Docker", "Markdown", "YAML", "Properties", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\productor.service.ts", "TypeScript", 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\propiedades-suelo.service.ts", "TypeScript", 0, 0, 0, 0, 0, 82, 0, 0, 9, 91
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\tipo-parcela.service.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 8, 73
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Services\user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\app.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 21, 21, 103
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\enum\reponse.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\enum\role.enum.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\enum\tipo-asignacion.role.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\types\express\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 1, 2, 16
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\common\types\response\api-response.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 1, 2, 11
